source,relationship,target,derivation_level,source_label,target_label,centroid_distance,inverse_expected,inverse_exists,geometry_ok
moldings_0,above,floor_0,geometric,moldings,floor,6.412853,below,true,false
floor_0,below,moldings_0,geometric,floor,moldings,6.412853,above,true,false
moldings_2,above,floor_0,geometric,moldings,floor,6.476218,below,true,false
floor_0,below,moldings_2,geometric,floor,moldings,6.476218,above,true,false
column_0,above,floor_0,geometric,column,floor,2.690109,below,true,false
floor_0,below,column_0,geometric,floor,column,2.690109,above,true,false
column_1,above,floor_0,geometric,column,floor,4.661576,below,true,false
floor_0,below,column_1,geometric,floor,column,4.661576,above,true,false
column_2,above,floor_0,geometric,column,floor,4.990425,below,true,false
floor_0,below,column_2,geometric,floor,column,4.990425,above,true,false
column_3,above,floor_0,geometric,column,floor,2.744913,below,true,false
floor_0,below,column_3,geometric,floor,column,2.744913,above,true,false
column_4,above,floor_0,geometric,column,floor,5.012994,below,true,false
floor_0,below,column_4,geometric,floor,column,5.012994,above,true,false
column_5,above,floor_0,geometric,column,floor,4.662854,below,true,false
floor_0,below,column_5,geometric,floor,column,4.662854,above,true,false
door_window_0,above,floor_0,geometric,door_window,floor,9.164777,below,true,false
floor_0,below,door_window_0,geometric,floor,door_window,9.164777,above,true,false
door_window_1,above,floor_0,geometric,door_window,floor,8.390965,below,true,false
floor_0,below,door_window_1,geometric,floor,door_window,8.390965,above,true,false
door_window_2,above,floor_0,geometric,door_window,floor,9.142168,below,true,false
floor_0,below,door_window_2,geometric,floor,door_window,9.142168,above,true,false
door_window_3,above,floor_0,geometric,door_window,floor,8.597785,below,true,false
floor_0,below,door_window_3,geometric,floor,door_window,8.597785,above,true,false
door_window_4,above,floor_0,geometric,door_window,floor,8.563606,below,true,false
floor_0,below,door_window_4,geometric,floor,door_window,8.563606,above,true,false
door_window_5,above,floor_0,geometric,door_window,floor,5.756862,below,true,false
floor_0,below,door_window_5,geometric,floor,door_window,5.756862,above,true,false
door_window_6,above,floor_0,geometric,door_window,floor,8.16125,below,true,false
floor_0,below,door_window_6,geometric,floor,door_window,8.16125,above,true,false
door_window_7,above,floor_0,geometric,door_window,floor,5.931033,below,true,false
floor_0,below,door_window_7,geometric,floor,door_window,5.931033,above,true,false
wall_0,above,floor_0,geometric,wall,floor,8.437184,below,true,false
floor_0,below,wall_0,geometric,floor,wall,8.437184,above,true,false
wall_1,above,floor_0,geometric,wall,floor,8.169032,below,true,false
floor_0,below,wall_1,geometric,floor,wall,8.169032,above,true,false
wall_2,above,floor_0,geometric,wall,floor,8.551282,below,true,false
floor_0,below,wall_2,geometric,floor,wall,8.551282,above,true,false
wall_3,above,floor_0,geometric,wall,floor,5.689143,below,true,false
floor_0,below,wall_3,geometric,floor,wall,5.689143,above,true,false
wall_4,above,floor_0,geometric,wall,floor,6.090016,below,true,false
floor_0,below,wall_4,geometric,floor,wall,6.090016,above,true,false
wall_5,above,floor_0,geometric,wall,floor,8.509428,below,true,false
floor_0,below,wall_5,geometric,floor,wall,8.509428,above,true,false
wall_6,above,floor_0,geometric,wall,floor,6.455426,below,true,false
floor_0,below,wall_6,geometric,floor,wall,6.455426,above,true,false
wall_7,above,floor_0,geometric,wall,floor,5.671536,below,true,false
floor_0,below,wall_7,geometric,floor,wall,5.671536,above,true,false
wall_8,above,floor_0,geometric,wall,floor,6.19344,below,true,false
floor_0,below,wall_8,geometric,floor,wall,6.19344,above,true,false
wall_11,above,floor_0,geometric,wall,floor,7.994173,below,true,false
floor_0,below,wall_11,geometric,floor,wall,7.994173,above,true,false
moldings_0,near,wall_4,geometric,moldings,wall,1.654426,near,true,false
wall_4,near,moldings_0,geometric,wall,moldings,1.654426,near,true,false
moldings_1,adjacent_to,door_window_0,geometric,moldings,door_window,1.844932,adjacent_to,true,false
door_window_0,adjacent_to,moldings_1,geometric,door_window,moldings,1.844932,adjacent_to,true,false
moldings_1,near,door_window_1,geometric,moldings,door_window,1.785064,near,true,false
door_window_1,near,moldings_1,geometric,door_window,moldings,1.785064,near,true,false
moldings_1,near,wall_2,geometric,moldings,wall,1.955029,near,true,false
wall_2,near,moldings_1,geometric,wall,moldings,1.955029,near,true,false
vault_0,above,moldings_1,geometric,vault,moldings,8.357701,below,true,false
moldings_1,below,vault_0,geometric,moldings,vault,8.357701,above,true,false
moldings_2,near,wall_8,geometric,moldings,wall,1.577449,near,true,false
wall_8,near,moldings_2,geometric,wall,moldings,1.577449,near,true,false
moldings_3,adjacent_to,door_window_1,geometric,moldings,door_window,1.842043,adjacent_to,true,false
door_window_1,adjacent_to,moldings_3,geometric,door_window,moldings,1.842043,adjacent_to,true,false
moldings_3,near,door_window_2,geometric,moldings,door_window,1.786734,near,true,false
door_window_2,near,moldings_3,geometric,door_window,moldings,1.786734,near,true,false
moldings_3,above,wall_11,geometric,moldings,wall,2.556938,below,true,false
wall_11,below,moldings_3,geometric,wall,moldings,2.556938,above,true,false
vault_0,above,moldings_3,geometric,vault,moldings,8.338155,below,true,false
moldings_3,below,vault_0,geometric,moldings,vault,8.338155,above,true,false
moldings_4,near,door_window_2,geometric,moldings,door_window,1.913912,near,true,false
door_window_2,near,moldings_4,geometric,door_window,moldings,1.913912,near,true,false
moldings_4,near,door_window_4,geometric,moldings,door_window,1.964827,near,true,false
door_window_4,near,moldings_4,geometric,door_window,moldings,1.964827,near,true,false
vault_0,above,moldings_4,geometric,vault,moldings,9.451394,below,true,false
moldings_4,below,vault_0,geometric,moldings,vault,9.451394,above,true,false
moldings_5,near,door_window_0,geometric,moldings,door_window,1.998081,near,true,false
door_window_0,near,moldings_5,geometric,door_window,moldings,1.998081,near,true,false
vault_0,above,moldings_5,geometric,vault,moldings,9.527443,below,true,false
moldings_5,below,vault_0,geometric,moldings,vault,9.527443,above,true,false
vault_0,above,column_0,geometric,vault,column,3.672193,below,true,false
column_0,below,vault_0,geometric,column,vault,3.672193,above,true,false
vault_0,above,column_1,geometric,vault,column,5.169697,below,true,false
column_1,below,vault_0,geometric,column,vault,5.169697,above,true,false
vault_0,above,column_2,geometric,vault,column,5.61858,below,true,false
column_2,below,vault_0,geometric,column,vault,5.61858,above,true,false
vault_0,above,column_3,geometric,vault,column,3.643537,below,true,false
column_3,below,vault_0,geometric,column,vault,3.643537,above,true,false
vault_0,above,column_4,geometric,vault,column,5.601949,below,true,false
column_4,below,vault_0,geometric,column,vault,5.601949,above,true,false
vault_0,above,column_5,geometric,vault,column,5.19748,below,true,false
column_5,below,vault_0,geometric,column,vault,5.19748,above,true,false
door_window_0,near,wall_2,geometric,door_window,wall,1.105387,near,true,false
wall_2,near,door_window_0,geometric,wall,door_window,1.105387,near,true,false
door_window_4,near,wall_1,geometric,door_window,wall,0.551152,near,true,false
wall_1,near,door_window_4,geometric,wall,door_window,0.551152,near,true,false
door_window_7,adjacent_to,wall_1,geometric,door_window,wall,4.424768,adjacent_to,true,false
wall_1,adjacent_to,door_window_7,geometric,wall,door_window,4.424768,adjacent_to,true,false
wall_1,adjacent_to,wall_2,geometric,wall,wall,8.519379,adjacent_to,true,false
wall_2,adjacent_to,wall_1,geometric,wall,wall,8.519379,adjacent_to,true,false
wall_1,adjacent_to,wall_10,geometric,wall,wall,4.255067,adjacent_to,true,false
wall_10,adjacent_to,wall_1,geometric,wall,wall,4.255067,adjacent_to,true,false
vault_0,above,wall_3,geometric,vault,wall,6.365786,below,true,false
wall_3,below,vault_0,geometric,wall,vault,6.365786,above,true,false
wall_4,adjacent_to,wall_5,geometric,wall,wall,4.802442,adjacent_to,true,false
wall_5,adjacent_to,wall_4,geometric,wall,wall,4.802442,adjacent_to,true,false
vault_0,above,wall_6,geometric,vault,wall,7.107835,below,true,false
wall_6,below,vault_0,geometric,wall,vault,7.107835,above,true,false
vault_0,above,wall_7,geometric,vault,wall,6.348876,below,true,false
wall_7,below,vault_0,geometric,wall,vault,6.348876,above,true,false
