source,relationship,target,derivation_level,source_label,target_label,source_centroid_x,source_centroid_y,source_centroid_z,target_centroid_x,target_centroid_y,target_centroid_z,source_box_center_x,source_box_center_y,source_box_center_z,target_box_center_x,target_box_center_y,target_box_center_z,centroid_distance
moldings_0,above,floor_0,geometric,moldings,floor,631.450256,812.98291,232.382584,631.634583,807.572754,228.944427,631.367188,813.087494,231.604408,631.84668,807.302002,228.938408,6.412853
floor_0,below,moldings_0,geometric,floor,moldings,631.634583,807.572754,228.944427,631.450256,812.98291,232.382584,631.84668,807.302002,228.938408,631.367188,813.087494,231.604408,6.412853
moldings_2,above,floor_0,geometric,moldings,floor,627.309631,804.172119,232.36084,631.634583,807.572754,228.944427,627.671173,805.264526,231.581406,631.84668,807.302002,228.938408,6.476218
floor_0,below,moldings_2,geometric,floor,moldings,631.634583,807.572754,228.944427,627.309631,804.172119,232.36084,631.84668,807.302002,228.938408,627.671173,805.264526,231.581406,6.476218
door_window_0,above,floor_0,geometric,door_window,floor,640.368652,807.460327,231.718689,631.634583,807.572754,228.944427,640.397675,807.476532,231.454903,631.84668,807.302002,228.938408,9.164777
floor_0,below,door_window_0,geometric,floor,door_window,631.634583,807.572754,228.944427,640.368652,807.460327,231.718689,631.84668,807.302002,228.938408,640.397675,807.476532,231.454903,9.164777
door_window_1,above,floor_0,geometric,door_window,floor,638.821716,804.18634,231.643616,631.634583,807.572754,228.944427,638.815674,804.175018,231.421402,631.84668,807.302002,228.938408,8.390965
floor_0,below,door_window_1,geometric,floor,door_window,631.634583,807.572754,228.944427,638.821716,804.18634,231.643616,631.84668,807.302002,228.938408,638.815674,804.175018,231.421402,8.390965
door_window_2,above,floor_0,geometric,door_window,floor,637.285339,800.912781,231.644974,631.634583,807.572754,228.944427,637.274689,800.871521,231.42691,631.84668,807.302002,228.938408,9.142168
floor_0,below,door_window_2,geometric,floor,door_window,631.634583,807.572754,228.944427,637.285339,800.912781,231.644974,631.84668,807.302002,228.938408,637.274689,800.871521,231.42691,9.142168
door_window_3,above,floor_0,geometric,door_window,floor,639.29071,810.040344,231.980316,631.634583,807.572754,228.944427,639.33316,810.032013,231.453911,631.84668,807.302002,228.938408,8.597785
floor_0,below,door_window_3,geometric,floor,door_window,631.634583,807.572754,228.944427,639.29071,810.040344,231.980316,631.84668,807.302002,228.938408,639.33316,810.032013,231.453911,8.597785
door_window_4,above,floor_0,geometric,door_window,floor,634.644653,800.07959,231.795273,631.634583,807.572754,228.944427,634.64267,800.050995,231.399406,631.84668,807.302002,228.938408,8.563606
floor_0,below,door_window_4,geometric,floor,door_window,631.634583,807.572754,228.944427,634.644653,800.07959,231.795273,631.84668,807.302002,228.938408,634.64267,800.050995,231.399406,8.563606
door_window_5,above,floor_0,geometric,door_window,floor,635.525696,811.64978,230.118546,631.634583,807.572754,228.944427,635.520172,811.640533,230.153412,631.84668,807.302002,228.938408,5.756862
floor_0,below,door_window_5,geometric,floor,door_window,631.634583,807.572754,228.944427,635.525696,811.64978,230.118546,631.84668,807.302002,228.938408,635.520172,811.640533,230.153412,5.756862
door_window_6,above,floor_0,geometric,door_window,floor,624.412537,810.879272,230.81926,631.634583,807.572754,228.944427,624.417175,810.90152,231.435913,631.84668,807.302002,228.938408,8.16125
floor_0,below,door_window_6,geometric,floor,door_window,631.634583,807.572754,228.944427,624.412537,810.879272,230.81926,631.84668,807.302002,228.938408,624.417175,810.90152,231.435913,8.16125
door_window_7,above,floor_0,geometric,door_window,floor,630.865356,801.819519,230.16333,631.634583,807.572754,228.944427,630.907684,801.882507,230.140404,631.84668,807.302002,228.938408,5.931033
floor_0,below,door_window_7,geometric,floor,door_window,631.634583,807.572754,228.944427,630.865356,801.819519,230.16333,631.84668,807.302002,228.938408,630.907684,801.882507,230.140404,5.931033
moldings_0,adjacent_to,column_2,geometric,moldings,column,631.450256,812.98291,232.382584,628.575684,810.978699,230.931137,631.367188,813.087494,231.604408,628.570679,810.988495,230.98941,3.792984
column_2,adjacent_to,moldings_0,geometric,column,moldings,628.575684,810.978699,230.931137,631.450256,812.98291,232.382584,628.570679,810.988495,230.98941,631.367188,813.087494,231.604408,3.792984
moldings_0,adjacent_to,door_window_3,geometric,moldings,door_window,631.450256,812.98291,232.382584,639.29071,810.040344,231.980316,631.367188,813.087494,231.604408,639.33316,810.032013,231.453911,8.384106
door_window_3,adjacent_to,moldings_0,geometric,door_window,moldings,639.29071,810.040344,231.980316,631.450256,812.98291,232.382584,639.33316,810.032013,231.453911,631.367188,813.087494,231.604408,8.384106
moldings_0,adjacent_to,door_window_5,geometric,moldings,door_window,631.450256,812.98291,232.382584,635.525696,811.64978,230.118546,631.367188,813.087494,231.604408,635.520172,811.640533,230.153412,4.84895
door_window_5,adjacent_to,moldings_0,geometric,door_window,moldings,635.525696,811.64978,230.118546,631.450256,812.98291,232.382584,635.520172,811.640533,230.153412,631.367188,813.087494,231.604408,4.84895
moldings_0,adjacent_to,door_window_6,geometric,moldings,door_window,631.450256,812.98291,232.382584,624.412537,810.879272,230.81926,631.367188,813.087494,231.604408,624.417175,810.90152,231.435913,7.509911
door_window_6,adjacent_to,moldings_0,geometric,door_window,moldings,624.412537,810.879272,230.81926,631.450256,812.98291,232.382584,624.417175,810.90152,231.435913,631.367188,813.087494,231.604408,7.509911
moldings_0,adjacent_to,wall_0,geometric,moldings,wall,631.450256,812.98291,232.382584,623.474731,807.117126,231.040924,631.367188,813.087494,231.604408,623.745667,808.444,231.579903,9.990819
wall_0,adjacent_to,moldings_0,geometric,wall,moldings,623.474731,807.117126,231.040924,631.450256,812.98291,232.382584,623.745667,808.444,231.579903,631.367188,813.087494,231.604408,9.990819
moldings_0,near,wall_4,geometric,moldings,wall,631.450256,812.98291,232.382584,631.860107,813.360779,230.824905,631.367188,813.087494,231.604408,631.848663,813.320007,231.224403,1.654426
wall_4,near,moldings_0,geometric,wall,moldings,631.860107,813.360779,230.824905,631.450256,812.98291,232.382584,631.848663,813.320007,231.224403,631.367188,813.087494,231.604408,1.654426
moldings_0,adjacent_to,wall_4,geometric,moldings,wall,631.450256,812.98291,232.382584,631.860107,813.360779,230.824905,631.367188,813.087494,231.604408,631.848663,813.320007,231.224403,1.654426
wall_4,adjacent_to,moldings_0,geometric,wall,moldings,631.860107,813.360779,230.824905,631.450256,812.98291,232.382584,631.848663,813.320007,231.224403,631.367188,813.087494,231.604408,1.654426
moldings_0,adjacent_to,wall_5,geometric,moldings,wall,631.450256,812.98291,232.382584,627.218933,814.594727,230.842926,631.367188,813.087494,231.604408,627.59967,814.223511,231.210411,4.78253
wall_5,adjacent_to,moldings_0,geometric,wall,moldings,627.218933,814.594727,230.842926,631.450256,812.98291,232.382584,627.59967,814.223511,231.210411,631.367188,813.087494,231.604408,4.78253
moldings_0,adjacent_to,wall_6,geometric,moldings,wall,631.450256,812.98291,232.382584,636.752319,811.091309,230.705414,631.367188,813.087494,231.604408,636.729675,811.092499,230.815903,5.873919
wall_6,adjacent_to,moldings_0,geometric,wall,moldings,636.752319,811.091309,230.705414,631.450256,812.98291,232.382584,636.729675,811.092499,230.815903,631.367188,813.087494,231.604408,5.873919
moldings_0,adjacent_to,wall_7,geometric,moldings,wall,631.450256,812.98291,232.382584,634.272705,812.240601,230.793167,631.367188,813.087494,231.604408,634.282684,812.225525,230.808411,3.323174
wall_7,adjacent_to,moldings_0,geometric,wall,moldings,634.272705,812.240601,230.793167,631.450256,812.98291,232.382584,634.282684,812.225525,230.808411,631.367188,813.087494,231.604408,3.323174
